as_of,node,level,n_leaves,window_q,observed,expected,n_study,llr,p_value,obs_exp,recurrence_interval,reference
2025-10-01,Clozapine,substance,1,5.0,3,1.4620617477760336,4,1.224942039583171,1.0,2.051896921975662,1.0,deaths
2025-10-01,Gabapentin,substance,1,2.0,3,1.1797488226059656,9,1.210188977033576,1.0,2.5429141716566863,1.0,deaths
2025-10-01,Buprenorphine,substance,1,2.0,3,1.1797488226059656,9,1.210188977033576,1.0,2.5429141716566863,1.0,deaths
2025-10-01,Duloxetine,substance,1,5.0,4,2.1930926216640505,6,1.116586695261419,1.0,1.8239083750894773,1.0,deaths
2025-10-01,Doxepin,substance,1,5.0,4,2.1930926216640505,6,1.116586695261419,1.0,1.8239083750894773,1.0,deaths
2025-10-01,Ketamine,substance,1,5.0,27,21.565410779696496,59,1.0486520366549197,1.0,1.2520049015444716,1.0,deaths
2025-10-01,Phenethylamines (Amphetamines) (S),category,4,6.0,2162,2116.236263736264,4755,0.890444459812457,1.0,1.0216250600407628,1.0,deaths
2025-10-01,Baclofen,substance,1,6.0,3,1.7802197802197803,4,0.7682181889733722,1.0,1.6851851851851851,1.0,deaths
2025-10-01,Citalopram,substance,1,1.0,3,1.3872318158032444,22,0.7659434114463659,1.0,2.1625801584307807,1.0,deaths
2025-10-01,Mitragynine,substance,1,5.0,24,19.737833594976454,54,0.7070668796417365,1.0,1.2159389167263182,1.0,deaths
2025-10-01,Antipsychotics,family,13,5.0,26,21.565410779696496,59,0.7012628377845447,1.0,1.2056343496354172,1.0,deaths
2025-10-01,Methamphetamine,substance,1,6.0,2117,2079.7417582417584,4673,0.6007045868901955,1.0,1.0179148404414116,1.0,deaths
2025-10-01,Amlodipine,substance,1,5.0,3,1.827577184720042,5,0.5641666044407564,1.0,1.6415175375805295,1.0,deaths
2025-10-01,Z-drugs,family,2,5.0,3,1.827577184720042,5,0.5641666044407564,1.0,1.6415175375805295,1.0,deaths
2025-10-01,Zolpidem,substance,1,5.0,3,1.827577184720042,5,0.5641666044407564,1.0,1.6415175375805295,1.0,deaths
2025-10-01,Acetaminophen,substance,1,5.0,3,1.827577184720042,5,0.5641666044407564,1.0,1.6415175375805295,1.0,deaths
2025-10-01,Venlafaxine,substance,1,6.0,5,3.5604395604395607,8,0.5219402674645339,1.0,1.404320987654321,1.0,deaths
2025-10-01,Olanzapine,substance,1,2.0,3,1.7040816326530615,13,0.47819425432558615,1.0,1.7604790419161673,1.0,deaths
2025-10-01,Gabapentinoids,family,2,2.0,3,1.7040816326530615,13,0.47819425432558615,1.0,1.7604790419161673,1.0,deaths
2025-10-01,Hydroxyzine,substance,1,6.0,10,8.010989010989011,18,0.441356307176032,1.0,1.2482853223593964,1.0,deaths
2025-10-01,Bupropion,substance,1,4.0,7,5.351517530088959,19,0.33504954962692524,1.0,1.308040188720757,1.0,deaths
2025-10-01,Lorazepam,substance,1,4.0,12,9.85805860805861,35,0.3114149835162703,1.0,1.2172782164421736,1.0,deaths
2025-10-01,Cardiovascular medications,family,23,6.0,12,10.236263736263737,23,0.271799093310811,1.0,1.1723027375201287,1.0,deaths
2025-10-01,Clonazepam,substance,1,1.0,4,2.774463631606489,44,0.25621067394320085,1.0,1.4417201056205204,1.0,deaths
2025-10-01,Other,category,11,5.0,3,2.1930926216640505,6,0.22528417755600172,1.0,1.3679312813171078,1.0,deaths
2025-10-01,Ephedrine,substance,1,6.0,4,3.1153846153846154,7,0.22453190742073226,1.0,1.2839506172839505,1.0,deaths
2025-10-01,Xylazine,substance,1,6.0,5,4.0054945054945055,9,0.220678153588016,1.0,1.2482853223593964,1.0,deaths
2025-10-01,Methadone,substance,1,1.0,4,2.9005756148613293,46,0.20025964079591385,1.0,1.3790366227674544,1.0,deaths
2025-10-01,Diazepam,substance,1,6.0,26,24.032967032967033,54,0.14440636810170115,1.0,1.0818472793781435,1.0,deaths
2025-10-01,Antihistamines,family,9,6.0,33,31.153846153846157,70,0.09823222083362126,1.0,1.0592592592592591,1.0,deaths
2025-10-01,Heroin,substance,1,4.0,105,101.96049188906332,362,0.06269473013314908,1.0,1.0298106458160654,1.0,deaths
2025-10-01,Quetiapine,substance,1,1.0,3,2.459183673469388,39,0.059554198161052896,1.0,1.2199170124481327,1.0,deaths
2025-10-01,Hydromorphone,substance,1,2.0,3,2.4905808477237055,19,0.05681134360006901,1.0,1.2045382918373775,1.0,deaths
2025-10-01,Metoprolol,substance,1,6.0,3,2.6703296703296706,6,0.03644802456000534,1.0,1.1234567901234567,1.0,deaths
2025-10-01,Muscle relaxants,family,7,6.0,11,10.681318681318682,24,0.008550788941247722,1.0,1.029835390946502,1.0,deaths
2025-10-01,Tramadol,substance,1,1.0,3,2.8375196232339093,45,0.0048790698450970615,1.0,1.0572614107883815,1.0,deaths
2025-10-01,Designer benzodiazepines,family,8,,2,2.522239665096808,40,0.0,1.0,0.7929460580912863,1.0,deaths
2025-10-01,Fentanyl analogs,family,8,,8,19.925693354264784,316,0.0,1.0,0.40149167498292976,1.0,deaths
2025-10-01,Barbiturates,family,4,,0,0.2522239665096808,4,0.0,1.0,0.0,1.0,deaths
2025-10-01,root,root,211,,873,910.5285190999477,14440,0.0,1.0,0.9587838070826772,1.0,deaths
2025-10-01,Opioids,superclass,29,,280,357.5274725274726,5670,0.0,1.0,0.7831566005839864,1.0,deaths
2025-10-01,Fentanyl and Fentanyl-related,category,9,,233,301.2184720041863,4777,0.0,1.0,0.7735249383934256,1.0,deaths
2025-10-01,Novel synthetic opioids,family,4,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Nitazenes,family,2,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Carisoprodol,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Chlorcyclizine,substance,1,,1,0.315279958137101,5,0.0,1.0,3.171784232365145,1.0,deaths
2025-10-01,Carbon monoxide,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Buspirone,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Butalbital,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Cannabis,substance,1,,1,0.18916797488226061,3,0.0,1.0,5.286307053941909,1.0,deaths
2025-10-01,Chlorpheniramine,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Chloroethane,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Atenolol,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Arsenic,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Benazepril,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Atomoxetine,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Amitriptyline,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Acetyl fentanyl,substance,1,,4,6.810047095761382,108,0.0,1.0,0.5873674504379898,1.0,deaths
2025-10-01,Fluvoxamine,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,GHB,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Flubromazepam,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Flubromazolam,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Flualprazolam,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Etizolam,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Fentanyl,substance,1,,225,281.29277864992156,4461,0.0,1.0,0.7998783370120573,1.0,deaths
2025-10-01,Flecainide,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Estazolam,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Escitalopram,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Ethylene Glycol,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Desloratadine,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Diphenhydramine,substance,1,,1,2.2700156985871276,36,0.0,1.0,0.4405255878284923,1.0,deaths
2025-10-01,Dextromethorphan,substance,1,,0,0.37833594976452123,6,0.0,1.0,0.0,1.0,deaths
2025-10-01,Dipyrone,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Doxylamine,substance,1,,1,0.37833594976452123,6,0.0,1.0,2.6431535269709543,1.0,deaths
2025-10-01,Clonidine,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Clomipramine,substance,1,,1,0.0630559916274202,1,0.0,1.0,15.858921161825725,1.0,deaths
2025-10-01,Clobazam,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Cyclobenzaprine,substance,1,,0,0.7566718995290425,12,0.0,1.0,0.0,1.0,deaths
2025-10-01,Aripiprazole,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Bromazolam,substance,1,,2,2.0808477237048666,33,0.0,1.0,0.961146737080347,1.0,deaths
2025-10-01,Benzylfentanyl,substance,1,,0,0.315279958137101,5,0.0,1.0,0.0,1.0,deaths
2025-10-01,Benztropine,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,MDA,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Loperamide,substance,1,,1,0.18916797488226061,3,0.0,1.0,5.286307053941909,1.0,deaths
2025-10-01,Levamisole,substance,1,,1,0.44139194139194143,7,0.0,1.0,2.2655601659751037,1.0,deaths
2025-10-01,Lamotrigine,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Hydroxychloroquine,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Labetalol,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Lacosamide,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Methocarbamol,substance,1,,0,0.2522239665096808,4,0.0,1.0,0.0,1.0,deaths
2025-10-01,Oxazepam,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Nortriptyline,substance,1,,0,0.2522239665096808,4,0.0,1.0,0.0,1.0,deaths
