substance,as_of,nb_trend_z,nb_trend_slope,nb_trend_dispersion,nb_trend_own_z,nb_trend_own_slope,n_recent,n_baseline,emergent,ears_z,nb_trend_alarm,ears_alarm
Buprenorphine,2025-10-01,0.11603558110592861,0.047301584703014495,1.4565805635325213,-0.2098532869051339,-0.08057330765081164,4,5,False,0.6074256852399642,False,False
Lamotrigine,2025-10-01,0.10370275425871132,0.0803113013827363,1.7561278308707569,-0.06463133939220617,-0.0483032951668286,1,2,False,0.08194293632421903,False,False
Xylazine,2025-10-01,0.09847944428823843,0.04068989856153061,1.661694222182242,-0.2138151770283452,-0.08703824687943695,2,8,False,-0.32053200040541324,False,False
Propranolol,2025-10-01,0.08229015353707107,0.04068989862896618,1.1899166711566056,-0.18102572910306794,-0.08703824685696507,1,4,False,-0.25654274395706983,False,False
Hydromorphone,2025-10-01,0.042905394267649624,0.01088246815223362,1.2482846757863055,-0.45110828543883236,-0.11618996433523346,4,16,False,-0.4472351801130034,False,False
Quetiapine,2025-10-01,0.040050788076042634,0.009733975264469836,2.9795512517462486,-0.4825534440419851,-0.1173133846816973,13,39,False,-0.20876911131167242,False,False
Rosuvastatin,2025-10-01,0.012588611986610229,51.76788963846864,1.0,0.012255130287967814,51.69272759151726,2,0,False,1.2751973989781702,False,False
Clomipramine,2025-10-01,0.012588611986610229,51.76788963846864,1.0,0.012255130287967814,51.69272759151726,2,0,False,1.2751973989781702,False,False
Amlodipine,2025-10-01,-0.04068334234498005,-0.019037848426282197,1.480764296180416,-0.31058798063728305,-0.14546176707704608,2,5,False,0.02640359380394439,False,False
Diazepam,2025-10-01,-0.0990866856493923,-0.01358797210402185,1.0,-1.0330587356039163,-0.14012929069449678,16,39,False,0.10553477076811299,False,False
Diphenhydramine,2025-10-01,-0.1414883261031796,-0.027147907547419765,1.3141231483095315,-0.7852024754778218,-0.1533977195638511,6,31,False,-0.9186665362902027,False,False
Mirtazapine,2025-10-01,-0.16127086889841635,-0.06536293938856848,2.045110137347949,-0.48663575744535537,-0.19080201875869807,3,10,False,-0.18620188101930002,False,False
MDA,2025-10-01,-0.37049688934263875,-0.22384020340713617,1.0,-0.5784300611579554,-0.34609036742951815,1,2,False,0.12532263237549945,False,False
Doxylamine,2025-10-01,-0.4051610416260425,-0.17147675233299398,1.0,-0.7034332269137121,-0.2947492612653978,1,5,False,-0.3715300714625487,False,False
Methadone,2025-10-01,-0.5971843004876072,-0.1501837209438137,3.0215834494241056,-1.1758927667040646,-0.2738808829747149,13,38,False,-0.14837488207479788,False,False
Nortriptyline,2025-10-01,-0.6847604242773995,-0.3320020674197418,1.0236179741982308,-0.9381024572448768,-0.45224195696959957,2,3,False,0.4619043252185054,False,False
