Substance Name,Synonyms,Chemical Name,Chemical Formula,NFLIS Detailed Drug Category,Date Added to NFLIS-Drug,Chemical Structures
Flubrotizolam,,"4-bromo-7-(2-fluorophenyl)-13-methyl-3-thia-1,8,11,12-tetraazatricyclo[8.3.0.0²,6]trideca-2(6),4,7,10,12-pentaene",C15H10BrFN4S,Benzodiazepines,10-2022,Structure Image cannot be exported
Fluclotizolam,,"4-Chloro-7-(2-fluorophenyl)-13-methyl-3-thia-1,8,11,12-tetraazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaene",C15H10ClFN4S,Benzodiazepines,05-2022,Structure Image cannot be exported
Fluconazole,,,,Other substances,02-2000,Structure Image cannot be exported
Fludiazepam,,"7-chloro-5-(2-fluorophenyl)-1-methyl-1,3-dihydro-1,4-benzodiazepin-2-one",C16H12ClFN2O,Benzodiazepines,10-1998,Structure Image cannot be exported
Fludrocortisone,,,,Other substances,05-2011,Structure Image cannot be exported
Flumazenil,,,,Other,06-2010,Structure Image cannot be exported
Flunarizine,,,,Other substances,06-2015,Structure Image cannot be exported
Flunisolide,,,,Other substances,05-2011,Structure Image cannot be exported
Flunitazene,4-fluoro desethoxyetonitazene;fluonitazene,"N,N-diethyl-2-(2-(4-fluorobenzyl)-5-nitro-1H-benzimidazol-1-yl)ethan-1-amine",C20H23FN4O2,Narcotic Analgesics,06-2021,Structure Image cannot be exported
Flunitrazepam,,"5-(2-fluorophenyl)-1-methyl-7-nitro-1,3-dihydro-1,4-benzodiazepin-2-one",C16H12FN3O3,Benzodiazepines,10-1998,Structure Image cannot be exported
Flunitrazolam,,"1-methyl-8-nitro-6-(2-fluorophenyl)-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine",C17H12FN5O2,Benzodiazepines,10-2018,Structure Image cannot be exported
Flunixin meglumine,,,,Analgesics,11-2017,Structure Image cannot be exported
Fluocinonide,,,,Other,10-2003,Structure Image cannot be exported
Fluoride,,,,Other,01-2005,Structure Image cannot be exported
Fluoro 4-ANBP,,,C18H21FN2,Narcotic Analgesics,01-2020,Structure Image cannot be exported
Fluoro 4-ANPP,,,C19H23FN2,Fentanyl and Fentanyl-related,12-2018,Structure Image cannot be exported
Fluoro 4-anilinopiperidine,,,C11H15FN2,Fentanyl and Fentanyl-related,09-2021,Structure Image cannot be exported
Fluoro MDMB-BUTINACA 2'-indazole isomer,,Fluoro MDMB-BINACA 2-indazole Isomer,C19H26FN3O3,Synthetic Cannabinoids,11-2019,Structure Image cannot be exported
Fluoro PCP,fluoro phencyclidine,,C17H24FN,Depressants and Tranquilizers,01-2023,Structure Image cannot be exported
Fluoro acetyl fentanyl,,,C21H25FN2O,Fentanyl and Fentanyl-related,10-2022,Structure Image cannot be exported
Fluoro furanyl fentanyl,,,C24H25FN2O2,Fentanyl and Fentanyl-related,04-2019,Structure Image cannot be exported
Fluoro phenethyl 4-ANPP,,,C27H31FN2,Fentanyl and Fentanyl-related,06-2021,Structure Image cannot be exported
Fluoro valeryl fentanyl,,,C24H31FN2O,Fentanyl and Fentanyl-related,10-2022,Structure Image cannot be exported
"Fluoro-3,5-AB-PFUPPYCA",,,C20H26F2N4O2,Synthetic Cannabinoids,01-2022,Structure Image cannot be exported
Fluoro-ABUTINACA,,,C22H28FN3O,Synthetic Cannabinoids,12-2020,Structure Image cannot be exported
Fluoro-ADB,,,C20H28FN3O3,Synthetic Cannabinoids,12-2017,Structure Image cannot be exported
Fluoro-AEB,,,C20H28FN3O3,Synthetic Cannabinoids,03-2018,Structure Image cannot be exported
Fluoro-AMB,,,C19H26FN3O3,Synthetic Cannabinoids,02-2018,Structure Image cannot be exported
Fluoro-BZO-POXIZID,,,C20H20FN3O2,Synthetic Cannabinoids,03-2022,Structure Image cannot be exported
Fluoro-CUMYL-P7AICA,,,C22H26FN3O,Synthetic Cannabinoids,05-2018,Structure Image cannot be exported
Fluoro-CUMYL-PINACA,,,C22H26FN3O,Synthetic Cannabinoids,05-2018,Structure Image cannot be exported
Fluoro-EDMB-PICA,,,C22H31FN2O3,Synthetic Cannabinoids,05-2021,Structure Image cannot be exported
Fluoro-EMB-PICA,,,C21H29FN2O3,Synthetic Cannabinoids,12-2020,Structure Image cannot be exported
Fluoro-EMDB-PINACA,,,C21H30FN3O3,Synthetic Cannabinoids,03-2018,Structure Image cannot be exported
Fluoro-MDMB-BUTICA,,,C20H27FN2O3,Synthetic Cannabinoids,12-2020,Structure Image cannot be exported
Fluoro-MDMB-BUTINACA,,,C19H26FN3O3,Synthetic Cannabinoids,04-2019,Structure Image cannot be exported
Fluoro-MDMB-PICA,,,C21H29FN2O3,Synthetic Cannabinoids,03-2018,Structure Image cannot be exported
Fluoro-MN-18,,,C23H22FN3O,Synthetic Cannabinoids,03-2018,Structure Image cannot be exported
Fluoro-MPP-PICA,,,C24H27FN2O3,Synthetic Cannabinoids,11-2019,Structure Image cannot be exported
Fluoro-NNEI,,,C24H23FN2O,Synthetic Cannabinoids,03-2018,Structure Image cannot be exported
Fluoro-PV8,fluoro-alpha-pyrrolidinoheptaphenone,,C17H24FNO,Synthetic Cathinones,11-2019,Structure Image cannot be exported
Fluoro-alpha-PHP,fluoro-alpha-pyrrolidinohexanophenone,,C16H22FNO,Synthetic Cathinones,03-2018,Structure Image cannot be exported
Fluoro-alpha-PIHP,,,,Synthetic Cathinones,10-2023,Structure Image cannot be exported
Fluoro-alpha-PVP,fluoro-alpha-pyrrolidinovalerophenone,,C15H20FNO,Synthetic Cathinones,12-2019,Structure Image cannot be exported
Fluoro-methyl-alpha-PVP,fluoro-methyl-alpha-pyrrolidinovalerophenone,,C16H22FNO,Synthetic Cathinones,01-2021,Structure Image cannot be exported
Fluoro-methylbenzylpiperazine,Methyl-fluorobenzylpiperiazine;fluoro MBZP,1-[(fluorophenyl)methyl]-4-methyl-piperazine,C12H17FN2,Piperazines (Hallucinogen),12-2023,Structure Image cannot be exported
Fluoroamphetamine,FA,,C9H12FN,Phenethylamines (Amphetamines) (S),11-2011,Structure Image cannot be exported
Fluorobutyryl fentanyl,FBF,,C23H29FN2O,Fentanyl and Fentanyl-related,02-2018,Structure Image cannot be exported
Fluorodeschloroketamine,,,C13H16FNO,Depressants and Tranquilizers,04-2019,Structure Image cannot be exported
Fluoroethamphetamine,FEA,,C11H16FN,Stimulants,01-2020,Structure Image cannot be exported
Fluorofentanyl,,,C22H27FN2O,Fentanyl and Fentanyl-related,05-2017,Structure Image cannot be exported
Fluoroisobutyryl fentanyl,FIBF,,C23H29FN2O,Fentanyl and Fentanyl-related,02-2017,Structure Image cannot be exported
Fluoromethamphetamine,FMA,,C10H14FN,Phenethylamines (Amphetamines) (S),08-2012,Structure Image cannot be exported
Fluoromethylphenidate,FMPH,,C14H18FNO2,Stimulants,05-2018,Structure Image cannot be exported
Fluoropentedrone,,,C12H16FNO,Synthetic Cathinones,05-2018,Structure Image cannot be exported
Fluorophenmetrazine,,,,Stimulants,03-2018,Structure Image cannot be exported
Fluorophenylpiperazine,FPP,,C10H13FN2,Piperazines (Hallucinogen),03-2018,Structure Image cannot be exported
Fluorouracil,,,,Other substances,06-2021,Structure Image cannot be exported
Fluoxetine,,N-methyl-3-phenyl-3-4-trifluoromethylphenyloxypropylamine,C17H18F3NO,Antidepressants,10-1998,Structure Image cannot be exported
Fluoxymesterone,,,,Steroids,10-1998,Structure Image cannot be exported
Fluphenazine,,,,Depressants and Tranquilizers,10-1998,Structure Image cannot be exported
Fluphenazine Hydrochloride,,,,Other,07-2005,Structure Image cannot be exported
Flurazepam,,"7-chloro-1-[2-(diethylamino)ethyl]-5-(2-fluorophenyl)-1,3-dihydro-1,4-benzodiazepin-2-one",C21H23ClFN3O,Benzodiazepines,10-1998,Structure Image cannot be exported
Flurbiprofen,,,,Analgesics,03-2001,Structure Image cannot be exported
Flutamide,,,,Other,01-2005,Structure Image cannot be exported
Fluticasone,,,,Other,03-2008,Structure Image cannot be exported
Fluticasone Propionate,,,,Other,08-2004,Structure Image cannot be exported
Fluvastatin,,,,Other,08-2004,Structure Image cannot be exported
Fluvoxamine,,,,Antidepressants,07-2003,Structure Image cannot be exported
Folic Acid,,,,Other substances,07-2000,Structure Image cannot be exported
