model,threshold,tp,fp,recall,fpr,precision
eb05,0.9409518528563127,15,50,1.0,0.25510204081632654,0.23076923076923078
eb05,0.9370004471358022,15,51,1.0,0.2602040816326531,0.22727272727272727
eb05,0.9167313600945417,15,52,1.0,0.2653061224489796,0.22388059701492538
eb05,0.9140089983583017,15,55,1.0,0.28061224489795916,0.21428571428571427
eb05,0.9108442166909632,15,56,1.0,0.2857142857142857,0.2112676056338028
eb05,0.9108372913846634,15,57,1.0,0.29081632653061223,0.20833333333333334
eb05,0.9037754813169544,15,58,1.0,0.29591836734693877,0.2054794520547945
eb05,0.8987364805367389,15,59,1.0,0.3010204081632653,0.20270270270270271
eb05,0.8985521828661225,15,60,1.0,0.30612244897959184,0.2
eb05,0.8881567102303871,15,61,1.0,0.3112244897959184,0.19736842105263158
eb05,0.8684452383811431,15,62,1.0,0.3163265306122449,0.19480519480519481
eb05,0.8661700696206408,15,63,1.0,0.32142857142857145,0.19230769230769232
eb05,0.8619603022723386,15,64,1.0,0.32653061224489793,0.189873417721519
eb05,0.8550819898057508,15,81,1.0,0.413265306122449,0.15625
eb05,0.8457346225334621,15,82,1.0,0.41836734693877553,0.15463917525773196
eb05,0.8401308896816225,15,83,1.0,0.42346938775510207,0.15306122448979592
eb05,0.8327357547462557,15,84,1.0,0.42857142857142855,0.15151515151515152
eb05,0.8303193816830439,15,85,1.0,0.4336734693877551,0.15
eb05,0.8219065951403252,15,87,1.0,0.44387755102040816,0.14705882352941177
eb05,0.8083699298944185,15,89,1.0,0.45408163265306123,0.14423076923076922
eb05,0.8023072518092399,15,90,1.0,0.45918367346938777,0.14285714285714285
eb05,0.779725178956191,15,94,1.0,0.47959183673469385,0.13761467889908258
eb05,0.7627225151091236,15,95,1.0,0.4846938775510204,0.13636363636363635
eb05,0.7580119702699837,15,96,1.0,0.4897959183673469,0.13513513513513514
eb05,0.745269722355063,15,102,1.0,0.5204081632653061,0.1282051282051282
eb05,0.72864548061721,15,103,1.0,0.5255102040816326,0.1271186440677966
eb05,0.7286161968423641,15,106,1.0,0.5408163265306123,0.12396694214876033
eb05,0.7213651193946358,15,107,1.0,0.5459183673469388,0.12295081967213115
eb05,0.7092168408810803,15,110,1.0,0.5612244897959183,0.12
eb05,0.6868142129970327,15,111,1.0,0.5663265306122449,0.11904761904761904
eb05,0.6629704084837282,15,113,1.0,0.576530612244898,0.1171875
eb05,0.6582733165373886,15,114,1.0,0.5816326530612245,0.11627906976744186
eb05,0.6477716934848563,15,115,1.0,0.5867346938775511,0.11538461538461539
eb05,0.6236258957409512,15,119,1.0,0.6071428571428571,0.11194029850746269
eb05,0.6204757545200171,15,120,1.0,0.6122448979591837,0.1111111111111111
eb05,0.6101318432901172,15,121,1.0,0.6173469387755102,0.11029411764705882
eb05,0.5908800603235929,15,127,1.0,0.6479591836734694,0.1056338028169014
eb05,0.5876753324110721,15,129,1.0,0.6581632653061225,0.10416666666666667
eb05,0.5752415750618199,15,130,1.0,0.6632653061224489,0.10344827586206896
eb05,0.5738738022621059,15,133,1.0,0.6785714285714286,0.10135135135135136
eb05,0.5733495992726644,15,143,1.0,0.7295918367346939,0.0949367088607595
eb05,0.5633008655865697,15,146,1.0,0.7448979591836735,0.09316770186335403
eb05,0.5613239130531489,15,147,1.0,0.75,0.09259259259259259
eb05,0.5587632703816446,15,151,1.0,0.7704081632653061,0.09036144578313253
eb05,0.5525145617762427,15,155,1.0,0.7908163265306123,0.08823529411764706
eb05,0.5341465269923575,15,156,1.0,0.7959183673469388,0.08771929824561403
eb05,0.5309394974534439,15,158,1.0,0.8061224489795918,0.08670520231213873
eb05,0.5153825825706317,15,159,1.0,0.8112244897959183,0.08620689655172414
eb05,0.5056273665439452,15,162,1.0,0.826530612244898,0.0847457627118644
eb05,0.5047568225376453,15,163,1.0,0.8316326530612245,0.08426966292134831
eb05,0.49657800520266204,15,164,1.0,0.8367346938775511,0.08379888268156424
eb05,0.4691683562997272,15,168,1.0,0.8571428571428571,0.08196721311475409
