substance,n_recent,ebgm,eb05,as_of
MDMA,23,1.099390536286477,0.8003224622331967,2024-01-01
Amphetamine,21,1.082539226239211,0.7785804405310178,2024-01-01
Oxazepam,3,1.371945725005074,0.7579114670009753,2024-01-01
Metoclopramide,3,1.371945725005074,0.7579114670009753,2024-01-01
Xylazine,3,1.371945725005074,0.7579114670009753,2024-01-01
Carfentanil,3,1.371945725005074,0.7579114670009753,2024-01-01
Hydroxyzine,8,1.1752010852494235,0.7368794361992925,2024-01-01
Bupropion,7,1.1876493720571362,0.7306811749614316,2024-01-01
Mirtazapine,6,1.202602884640045,0.7241743455114987,2024-01-01
Sertraline,8,1.1280250291013743,0.7072989107106672,2024-01-01
Methocarbamol,3,1.2733223928756476,0.7034284411987253,2024-01-01
Propranolol,3,1.2733223928756476,0.7034284411987253,2024-01-01
Hydrocodone,35,0.9161715077520972,0.702789356095837,2024-01-01
Diphenhydramine,14,1.0164419076478635,0.6909573314960354,2024-01-01
Dextromethorphan,4,1.1702608255221645,0.6684038270467457,2024-01-01
Hydromorphone,6,1.0928310984449885,0.6580727982436929,2024-01-01
Buprenorphine,5,1.0982660786423002,0.6453306440062094,2024-01-01
Pregabalin,2,1.2110889515906456,0.6428690039301588,2024-01-01
Cannabis,2,1.2110889515906456,0.6428690039301588,2024-01-01
Lidocaine,4,1.1049231497934948,0.6310856911620417,2024-01-01
Oxycodone,29,0.8254151587452219,0.6189607063879873,2024-01-01
Morphine,30,0.820986804359362,0.6182220231094396,2024-01-01
Diazepam,19,0.8505465720603574,0.6034801821785407,2024-01-01
Trazodone,9,0.9456909355552346,0.6031070777748435,2024-01-01
Temazepam,6,1.00142273439185,0.6030291981842507,2024-01-01
Chlorcyclizine,3,1.0474353917227306,0.5786404519219446,2024-01-01
Alprazolam,87,0.6654965355228823,0.5592122323821019,2024-01-01
Ephedrine,2,1.0486462191918786,0.5566413181472681,2024-01-01
MDA,2,1.0486462191918786,0.5566413181472681,2024-01-01
Venlafaxine,3,0.9889552713268559,0.5463339597394882,2024-01-01
Tramadol,14,0.7968259373715499,0.5416666896656663,2024-01-01
Doxylamine,4,0.9464049062000687,0.5405467289377035,2024-01-01
Heroin,124,0.620313528795846,0.5356834945543865,2024-01-01
Fluvoxamine,1,1.050263779048437,0.5308574916022633,2024-01-01
Benazepril,1,1.050263779048437,0.5308574916022633,2024-01-01
Atomoxetine,1,1.050263779048437,0.5308574916022633,2024-01-01
Arsenic,1,1.050263779048437,0.5308574916022633,2024-01-01
Flubromazepam,1,1.050263779048437,0.5308574916022633,2024-01-01
Zinc,1,1.050263779048437,0.5308574916022633,2024-01-01
Vancomycin,1,1.050263779048437,0.5308574916022633,2024-01-01
Tapentadol,1,1.050263779048437,0.5308574916022633,2024-01-01
Metonitazene,1,1.050263779048437,0.5308574916022633,2024-01-01
Estazolam,1,1.050263779048437,0.5308574916022633,2024-01-01
Midazolam,2,0.9827390779966932,0.5216565565767949,2024-01-01
"1,1-Difluoroethane",3,0.9366599352911618,0.5174441617469507,2024-01-01
Chlordiazepoxide,3,0.9366599352911618,0.5174441617469507,2024-01-01
Hydroxychloroquine,1,0.9747647912847501,0.49269640858457264,2024-01-01
Clozapine,1,0.9747647912847501,0.49269640858457264,2024-01-01
Phenobarbital,1,0.9747647912847501,0.49269640858457264,2024-01-01
Nortriptyline,1,0.9747647912847501,0.49269640858457264,2024-01-01
Valproic Acid,1,0.9747647912847501,0.49269640858457264,2024-01-01
para-Fluorofentanyl,59,0.6069468556886758,0.4924475066765407,2024-01-01
Levamisole,3,0.8896175175284531,0.49145626207426124,2024-01-01
Lamotrigine,2,0.9246265411962469,0.49080931897323926,2024-01-01
Olanzapine,6,0.8005420072377414,0.48206435520015756,2024-01-01
Oxymorphone,2,0.8730030502605012,0.4634065900872459,2024-01-01
Baclofen,1,0.909392443558169,0.4596538518225696,2024-01-01
Topiramate,1,0.909392443558169,0.4596538518225696,2024-01-01
Clonazepam,12,0.6881629597028133,0.45754306863363,2024-01-01
Citalopram,6,0.7503685319868468,0.45185126984511176,2024-01-01
Fluoxetine,3,0.8084145658502357,0.4465968721512235,2024-01-01
Duloxetine,2,0.8268391951325477,0.43890193952074097,2024-01-01
Pentobarbital,1,0.8522373658184035,0.4307647271983214,2024-01-01
Zolpidem,1,0.8522373658184035,0.4307647271983214,2024-01-01
Flualprazolam,2,0.7853123684001583,0.4168587116448956,2024-01-01
Metoprolol,1,0.8018418168952904,0.405292217127107,2024-01-01
Doxepin,1,0.8018418168952904,0.405292217127107,2024-01-01
Benztropine,1,0.7570736084109848,0.3826640551990267,2024-01-01
Gabapentin,4,0.6616382948421696,0.3779000020750617,2024-01-01
Flubromazolam,1,0.7170400296400369,0.36242901936311317,2024-01-01
GHB,1,0.7170400296400369,0.36242901936311317,2024-01-01
Lorazepam,7,0.5794251770236497,0.35648153327993154,2024-01-01
Etizolam,1,0.5233274372888964,0.2645166825590506,2024-01-01
Bromazolam,20,6.8284145433475025,4.7807619107692165,2024-04-01
Mirtazapine,8,2.257402068791945,1.3350837525478383,2024-04-01
Mitragynine,23,1.7947746377426808,1.284537870544247,2024-04-01
Carfentanil,4,2.3731205677509792,1.2156498605051893,2024-04-01
Xylazine,4,2.3731205677509792,1.2156498605051893,2024-04-01
Hydromorphone,10,1.9093173545537694,1.1805604163494112,2024-04-01
Ketamine,21,1.5518976431562945,1.095042395865533,2024-04-01
Codeine,18,1.496558161842509,1.0298057708666275,2024-04-01
Diphenhydramine,16,1.4528258404157588,0.9798628956827493,2024-04-01
Oxazepam,3,2.023302838000169,0.9778391407265166,2024-04-01
Methocarbamol,3,2.023302838000169,0.9778391407265166,2024-04-01
Methamphetamine,1673,1.008102357221593,0.968235474952305,2024-04-01
Cocaine,532,1.0273503597671325,0.9563111112799347,2024-04-01
Fentanyl,1765,0.9845253215180118,0.9466015380501699,2024-04-01
Ethanol,383,1.026598314388522,0.9434389649356059,2024-04-01
PCP,117,1.096128332511835,0.9409768174550912,2024-04-01
Lidocaine,6,1.670767640208893,0.9312840804190472,2024-04-01
MDMA,24,1.2423527306520175,0.8949514442900159,2024-04-01
Hydroxyzine,7,1.4610542888984421,0.8408295724620193,2024-04-01
Benzylfentanyl,3,1.7324939289127925,0.8372945181238608,2024-04-01
Propranolol,3,1.7324939289127925,0.8372945181238608,2024-04-01
Amphetamine,23,1.1450132754466487,0.8194972692710871,2024-04-01
Dextromethorphan,4,1.5783271426945775,0.8085106154832136,2024-04-01
"1,1-Difluoroethane",5,1.4804896494967128,0.7944018831511186,2024-04-01
Cyclobenzaprine,6,1.4128833715804632,0.7875396672616686,2024-04-01
Bupropion,7,1.363373905260384,0.7846149910899348,2024-04-01
Hydrocodone,36,1.0116239589334874,0.7713239407582655,2024-04-01
Quetiapine,17,1.1161619793128141,0.7606805172852539,2024-04-01
Phentermine,2,1.673637310469962,0.7496575962544995,2024-04-01
Protonitazene,2,1.673637310469962,0.7496575962544995,2024-04-01
Pregabalin,2,1.673637310469962,0.7496575962544995,2024-04-01
Cannabis,2,1.673637310469962,0.7496575962544995,2024-04-01
Ephedrine,3,1.51477554513045,0.7320737111741137,2024-04-01
Tramadol,18,1.058086620275903,0.7280864422237922,2024-04-01
Acetyl fentanyl,37,0.912218389475206,0.6979801176168883,2024-04-01
Temazepam,7,1.2025749731189255,0.6920759948375854,2024-04-01
Alprazolam,99,0.8074252335990341,0.6840790115986172,2024-04-01
Clonazepam,19,0.9673136035311951,0.6716122524007145,2024-04-01
para-Fluorofentanyl,75,0.8073800454794019,0.6676204288251979,2024-04-01
Chlorcyclizine,3,1.3456685810671107,0.6503462478775136,2024-04-01
Morphine,29,0.8726426136211071,0.6462346052793607,2024-04-01
Lorazepam,14,0.9731663232567083,0.6410366699046448,2024-04-01
Oxycodone,28,0.8451779259948202,0.622790497929921,2024-04-01
Trazodone,9,1.0253004349729726,0.6209178593511449,2024-04-01
Diazepam,18,0.8504456192907466,0.585205325715913,2024-04-01
Venlafaxine,3,1.2105273659661637,0.5850340429177949,2024-04-01
Citalopram,8,0.9791170839136955,0.5790742059852662,2024-04-01
Midazolam,2,1.252993284892326,0.5612422286472855,2024-04-01
Heroin,121,0.6488522070043407,0.558417411591972,2024-04-01
Olanzapine,6,0.9657094058420924,0.538285381119324,2024-04-01
Atomoxetine,1,1.3242414338629696,0.5340730205046756,2024-04-01
Arsenic,1,1.3242414338629696,0.5340730205046756,2024-04-01
Flubromazepam,1,1.3242414338629696,0.5340730205046756,2024-04-01
Secobarbital,1,1.3242414338629696,0.5340730205046756,2024-04-01
Estazolam,1,1.3242414338629696,0.5340730205046756,2024-04-01
Nicotine,1,1.3242414338629696,0.5340730205046756,2024-04-01
Zinc,1,1.3242414338629696,0.5340730205046756,2024-04-01
Metonitazene,1,1.3242414338629696,0.5340730205046756,2024-04-01
Tapentadol,1,1.3242414338629696,0.5340730205046756,2024-04-01
Chlordiazepoxide,3,1.1000525841454671,0.5316428432918048,2024-04-01
Sertraline,6,0.9173211091968405,0.5113137967650309,2024-04-01
Doxepin,2,1.113111246869561,0.4985861013446022,2024-04-01
Lamotrigine,2,1.113111246869561,0.4985861013446022,2024-04-01
Zolpidem,2,1.113111246869561,0.4985861013446022,2024-04-01
Doxylamine,4,0.945202410877787,0.48418744270616554,2024-04-01
Fluoxetine,4,0.945202410877787,0.48418744270616554,2024-04-01
Methadone,12,0.734573144889668,0.47034214604039526,2024-04-01
Hydroxychloroquine,1,1.133908479488909,0.457310812915684,2024-04-01
Salicylate,1,1.133908479488909,0.457310812915684,2024-04-01
Nortriptyline,1,1.133908479488909,0.457310812915684,2024-04-01
Phenobarbital,1,1.133908479488909,0.457310812915684,2024-04-01
Buspirone,1,1.133908479488909,0.457310812915684,2024-04-01
Clozapine,1,1.133908479488909,0.457310812915684,2024-04-01
Levamisole,3,0.9302586228022255,0.4495833620603486,2024-04-01
Acetaminophen,2,1.0013250250903512,0.4485146851607437,2024-04-01
Oxymorphone,2,1.0013250250903512,0.4485146851607437,2024-04-01
Duloxetine,2,0.9099424039381482,0.4075824738125398,2024-04-01
Paroxetine,2,0.9099424039381482,0.4075824738125398,2024-04-01
Buprenorphine,2,0.9099424039381482,0.4075824738125398,2024-04-01
Baclofen,1,0.9914129027994479,0.39984165275725697,2024-04-01
Topiramate,1,0.9914129027994479,0.39984165275725697,2024-04-01
Metoclopramide,1,0.9914129027994479,0.39984165275725697,2024-04-01
Flualprazolam,2,0.833844353141726,0.37349654522883763,2024-04-01
MDA,1,0.8807332534846717,0.3552040110807638,2024-04-01
Benztropine,1,0.7922840143998565,0.3195320021317857,2024-04-01
Flubromazolam,1,0.7922840143998565,0.3195320021317857,2024-04-01
Metoprolol,1,0.7922840143998565,0.3195320021317857,2024-04-01
GHB,1,0.659767343208233,0.26608738316673763,2024-04-01
Amlodipine,1,0.6088495451034935,0.245551987176357,2024-04-01
Gabapentin,2,0.4995963263816981,0.22377977521767495,2024-04-01
Etizolam,1,0.4652317799259258,0.1876302429346254,2024-04-01
Carfentanil,12,7.965653077112022,5.023073303558021,2024-07-01
Bromazolam,20,5.480446597016742,3.8074290407865923,2024-07-01
Mirtazapine,9,3.5136178639545776,2.0817485256383184,2024-07-01
Xylazine,6,3.58695588513776,1.930342069185801,2024-07-01
Codeine,25,2.4013614699588346,1.7306336204797526,2024-07-01
Methocarbamol,4,3.365006026584182,1.6337805279034907,2024-07-01
Benzylfentanyl,5,3.1301709158379643,1.6092628289156201,2024-07-01
Ephedrine,5,3.1301709158379643,1.6092628289156201,2024-07-01
Hydroxyzine,10,2.4248640661498477,1.4707758108852305,2024-07-01
Lidocaine,9,2.445241376817491,1.448756759589787,2024-07-01
Diphenhydramine,20,1.8785465985136052,1.3050821218739672,2024-07-01
Propranolol,4,2.67350511036832,1.2980424272832907,2024-07-01
Mitragynine,22,1.8374285533296566,1.2972082391649329,2024-07-01
Morphine,43,1.6123994614461516,1.2535546334677148,2024-07-01
Ketamine,22,1.718371042902122,1.2131546942359648,2024-07-01
Hydromorphone,10,1.900237723908515,1.152569217495898,2024-07-01
Citalopram,13,1.7502789122763054,1.1219260058570308,2024-07-01
Amphetamine,28,1.4796445532433544,1.085039955389789,2024-07-01
Baclofen,4,2.2177604858931117,1.0767689177317747,2024-07-01
Dextromethorphan,4,2.2177604858931117,1.0767689177317747,2024-07-01
Fluoxetine,8,1.845712221377396,1.0643974149475828,2024-07-01
Clonazepam,24,1.479135195423659,1.0591303988087482,2024-07-01
Chlorcyclizine,3,2.2170308562575123,0.9991764653595218,2024-07-01
para-Fluorofentanyl,102,1.1733832529023218,0.9958105596930357,2024-07-01
Methamphetamine,1586,1.002083521975263,0.9613899397711556,2024-07-01
Quetiapine,18,1.385236844422625,0.9447252762797792,2024-07-01
Alprazolam,115,1.0927083198531478,0.9362322748622827,2024-07-01
Ethanol,362,1.0106285815995153,0.9264156263292348,2024-07-01
Hydrocodone,43,1.1894308124813697,0.9247190549406447,2024-07-01
Cocaine,484,0.9907462712390043,0.9189713322570116,2024-07-01
Bupropion,8,1.5794954424525989,0.9108737789108862,2024-07-01
Oxycodone,37,1.1858192795936087,0.9043698110910094,2024-07-01
Phentermine,2,2.2163476806807063,0.9017203411127865,2024-07-01
Protonitazene,2,2.2163476806807063,0.9017203411127865,2024-07-01
Pregabalin,2,2.2163476806807063,0.9017203411127865,2024-07-01
PCP,107,1.0442321756023907,0.8896429095849702,2024-07-01
Chlordiazepoxide,5,1.7179950001916013,0.8832442599483742,2024-07-01
Fentanyl,1544,0.9042600085335029,0.8670516683462897,2024-07-01
Lorazepam,15,1.2139318367775578,0.8003574389576164,2024-07-01
Tramadol,19,1.1345942463683727,0.7812436798737651,2024-07-01
Trazodone,11,1.1972173801850676,0.7412762404196186,2024-07-01
Cyclobenzaprine,6,1.356649438096914,0.7300891249726577,2024-07-01
Promethazine,2,1.760893384392459,0.7164189071409348,2024-07-01
Metoprolol,3,1.3715066011841754,0.6181136875567617,2024-07-01
Heroin,116,0.7164994153156334,0.6143061618728226,2024-07-01
MDMA,16,0.9048812493510028,0.603943858610879,2024-07-01
Methadone,14,0.906836384913436,0.5899261107148771,2024-07-01
