zip,mean_log_rr,max_log_rr,min_p,n_cells,mean_rr
91776,-0.22663666653904713,0.06858567015865535,0.39,31,0.7972103828836815
90240,-0.23494821209813896,-0.1262856143006883,0.692,34,0.7906117926944789
90038,-0.23503583180166707,-0.131163008216598,0.914,12,0.7905425225583559
90716,-0.23680126865828577,-0.17752730649936677,0.728,8,0.789148100896179
91204,-0.2591087245407498,-0.09963903286486309,0.794,14,0.7717391115016875
90293,-0.26630628959951874,-0.1765160238923542,0.75,18,0.7662044111150302
90036,-0.27404088174129493,-0.1167350136731633,0.852,25,0.7603009921970523
90606,-0.2885061191698028,-0.23975640018646294,0.738,38,0.7493822195364241
90715,-0.3045767385569831,-0.16485997022593457,0.74,19,0.737435436331989
90028,-0.3142596129619226,-0.19425225139186608,0.96,18,0.7303294005667391
91024,-0.326125304006087,0.15112416717008958,0.318,125,0.7217147480164451
90027,-0.34124103477946544,-0.029012922830704113,0.62,83,0.7108875389330904
90066,-0.3619283513223211,-0.050284614256864923,0.624,53,0.696332257339955
90602,-0.3640524793571262,-0.28088178881283277,0.758,27,0.6948547282566151
91042,-0.36497728413951797,-0.17447951697862862,0.734,215,0.694212420331355
91791,-0.3695992924490765,-0.080853913350178,0.602,63,0.6910111685611421
91744,-0.3785063229184621,0.3202736286315879,0.156,93,0.6848836405779701
91755,-0.38295247075231664,-0.18868437292007822,0.828,30,0.6818453061102843
90034,-0.39469752924901125,-0.20226517806248534,0.924,32,0.6738838385763795
91773,-0.41237597178432356,-0.04769127118655003,0.566,159,0.6620753076177401
91020,-0.4134533724325208,-0.2746272966274006,0.736,8,0.6613623713801039
90292,-0.42728382582532126,-0.2692353699610055,0.888,25,0.6522783924994967
90035,-0.4628311288007892,-0.28871503012864963,0.976,21,0.6294989277716406
90660,-0.467332334327264,-0.2511703188438599,0.782,97,0.6266717912536521
91208,-0.47563361099458384,0.11120238037628738,0.27,80,0.6214911480614025
90640,-0.48463963221950446,-0.10558730411606998,0.738,91,0.615919114180082
91203,-0.4854668943566448,-0.3803360984642601,0.974,11,0.6154097983152916
90605,-0.4940529486405875,-0.34458226515875934,0.808,61,0.6101484757030262
93553,-0.4949554538273026,-0.3957889032326434,0.88,107,0.6095980619520305
93544,-0.5058483098959174,-0.39615138787267146,1.0,58,0.6029938327640358
91382,-0.5106064812181669,-0.38985091315862563,0.998,23,0.6001314999367836
91214,-0.5176021243588115,-0.37355659904269967,0.778,90,0.5959478448666984
91301,-0.5199657276417156,-0.3893544844612,0.876,241,0.5945409239405861
91361,-0.5247654961479455,-0.401686180279496,1.0,37,0.5916941026451571
91007,-0.5262132979520164,0.02933494747252352,0.468,61,0.5908380666906192
91745,-0.5275241311249648,0.15176064807360712,0.308,155,0.5900640839449165
90048,-0.5407387965495913,-0.3518989845307723,0.996,20,0.5823178789746222
93543,-0.5468370651582684,-0.3136469150083272,0.75,310,0.5787775540309539
90701,-0.5477653454722488,-0.4306933083249298,0.91,16,0.5782405355117957
90670,-0.554164889884368,-0.24467055013899142,0.744,90,0.5745518749861547
90068,-0.5606898970040904,-0.2631928325001476,0.986,80,0.5708151243314276
90290,-0.5644889757181252,-0.31206922939932946,0.918,175,0.5686506668184639
91406,-0.5697409527475873,-0.5524496334206415,0.992,74,0.565671955487168
91302,-0.5709324799379883,-0.2996742403135464,0.912,231,0.5649983433646336
91207,-0.5713910599374191,-0.2786831964788359,0.842,33,0.5647393058239122
91405,-0.5741939462966485,-0.5524548694579181,0.992,31,0.5631586220005047
91411,-0.5786426397035206,-0.5578158296655897,0.99,19,0.5606588663976166
91362,-0.5857476898312668,-0.5497775225724699,1.0,10,0.5566894751078083
91335,-0.5886327449310998,-0.5447791642167719,0.992,70,0.5550857098865576
93591,-0.5970062094466663,-0.26463354553309193,0.766,413,0.5504571250814043
90603,-0.6048649402049141,-0.4295794297855582,0.842,37,0.5461481843206095
91724,-0.6053750331799034,-0.2416448722914164,0.766,67,0.5458696690088755
