substance,n_recent,n_baseline,expected,share_recent_pct,share_baseline_pct,count_ratio,ebgm,eb05,eb95,n_total,first_seen,last_seen,date_added,date_added_censored,category
25C-NBOMe,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2014-01-01,2014-01-01,2012-05-01,False,Phenethylamines (2C Series) (H)
5F-MDMB-PICA,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2019-04-01,2019-04-01,2017-05-01,False,Synthetic Cannabinoids
4-ANPP,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2018-04-01,2021-07-01,1998-10-01,True,Fentanyl and Fentanyl-related
Acryl fentanyl,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2016-10-01,2022-07-01,2016-11-01,False,Fentanyl and Fentanyl-related
Amantadine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2012-07-01,2012-07-01,2003-07-01,False,Other substances
alpha-PVP,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2016-04-01,2016-04-01,2012-04-01,False,Synthetic Cathinones
Verapamil,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2012-01-01,2021-10-01,2000-03-01,False,Other substances
U-47700,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,5,2016-04-01,2017-07-01,2016-05-01,False,Narcotic Analgesics
Warfarin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-07-01,2017-07-01,2003-07-01,False,Other substances
Terazosin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-07-01,2017-07-01,2003-07-01,False,Other substances
Thiothixene,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2013-04-01,2013-04-01,1998-10-01,True,Depressants and Tranquilizers
Valproate,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2022-10-01,2022-10-01,1998-10-01,True,Other substances
Risperidone,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2019-07-01,2020-07-01,2003-07-01,False,Other substances
Rocuronium,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2019-04-01,2019-04-01,2016-03-01,False,Other substances
Prazosin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2019-01-01,2019-01-01,2003-08-01,False,Other
Psilocin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2021-07-01,2021-07-01,1998-10-01,True,Psychedelics
Tianeptine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2020-04-01,2020-04-01,2018-06-01,False,Antidepressants
Tamsulosin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2020-07-01,2020-07-01,2004-03-01,False,Other substances
Sumatriptan,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2016-10-01,2016-10-01,2001-08-01,False,Other substances
Nifedipine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2018-01-01,2019-01-01,2000-11-01,False,Other substances
Metaxalone,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2014-07-01,2014-07-01,1998-10-01,True,Other substances
Lithium,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2016-10-01,2020-07-01,2008-07-01,False,Other substances
Ibuprofen,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2016-01-01,2019-10-01,1998-10-01,True,Analgesics
Isopropanol,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,6,2014-10-01,2021-01-01,,False,Supplement
Insulin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,5,2014-01-01,2021-10-01,2000-07-01,False,Other substances
Propoxyphene,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2014-01-01,2022-10-01,1998-10-01,True,Narcotic Analgesics
Propofol,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2013-07-01,2020-10-01,2000-07-01,False,Depressants and Tranquilizers
Diclazepam,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2018-04-01,2018-04-01,2015-06-01,False,Benzodiazepines
Delorazepam,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-10-01,2017-10-01,1998-10-01,True,Benzodiazepines
Cyclopropyl fentanyl,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2017-07-01,2017-10-01,2017-08-01,False,Fentanyl and Fentanyl-related
Digoxin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2015-04-01,2015-04-01,1999-11-01,False,Other substances
Disulfiram,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2021-04-01,2021-04-01,2008-07-01,False,Other
Eszopiclone,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2016-07-01,2022-07-01,2006-04-01,False,Depressants and Tranquilizers
Diltiazem,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2018-01-01,2018-04-01,2005-09-01,False,Other substances
Dimethyltryptamine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2016-10-01,2016-10-01,1998-10-01,True,Tryptamines
Donepezil,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2017-04-01,2018-04-01,2000-07-01,False,Other substances
Desvenlafaxine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2018-01-01,2021-04-01,2010-04-01,False,Antidepressants
Caffeine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2014-04-01,2015-07-01,1998-10-01,True,Stimulants
Brompheniramine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-07-01,2017-07-01,2003-07-01,False,Other substances
Atorvastatin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2014-10-01,2019-04-01,2003-07-01,False,Other substances
Carbamazepine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2014-10-01,2014-10-01,1999-12-01,False,Other substances
Butyl Nitrite,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2016-01-01,2016-01-01,1998-10-01,True,Other substances
Carvedilol,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2021-04-01,2021-04-01,2005-01-01,False,Other substances
Chlorpromazine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,4,2015-01-01,2022-07-01,1998-10-01,True,Depressants and Tranquilizers
Clindamycin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2015-07-01,2015-07-01,2000-07-01,False,Other substances
Depakote,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2014-01-01,2014-01-01,2000-07-01,False,Other substances
Deoxymethoxetamine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2022-04-01,2022-04-01,2024-08-01,False,Hallucinogens
Clonazolam,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2021-04-01,2022-01-01,2016-02-01,False,Benzodiazepines
Isosorbide Mononitrate,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-07-01,2017-07-01,2003-07-01,False,Other substances
Meprobamate,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,9,2012-07-01,2022-10-01,1998-10-01,True,Depressants and Tranquilizers
Metformin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,4,2014-04-01,2021-01-01,2001-06-01,False,Other substances
Guanfacine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2021-07-01,2021-07-01,2011-05-01,False,Other substances
Meperidine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2013-04-01,2017-07-01,1998-10-01,True,Narcotic Analgesics
Meloxicam,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2019-04-01,2019-04-01,2003-07-01,False,Analgesics
MMC,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2022-04-01,2022-04-01,2018-03-01,False,Synthetic Cathinones
Loratadine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2021-01-01,2021-01-01,,False,Supplement
Lurasidone,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2012-04-01,2012-04-01,2011-11-01,False,Other substances
Levodopa,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2022-10-01,2022-10-01,1999-11-01,False,Other substances
Levetiracetam,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2014-07-01,2015-10-01,2003-09-01,False,Other substances
Memantine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,3,2018-07-01,2022-01-01,2006-03-01,False,Other
LSD,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2020-07-01,2020-07-01,,False,Supplement
Flurazepam,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2015-04-01,2017-04-01,1998-10-01,True,Benzodiazepines
Hydrochlorothiazide,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2020-07-01,2020-07-01,2000-03-01,False,Other substances
Haloperidol,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-07-01,2017-07-01,1998-10-01,True,Depressants and Tranquilizers
Helium,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2012-10-01,2012-10-01,,False,Supplement
Fluoride,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2021-04-01,2021-04-01,2005-01-01,False,Other
Felodipine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-04-01,2017-04-01,2004-01-01,False,Other
Eutylone,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2020-07-01,2020-07-01,2017-10-01,False,Synthetic Cathinones
Furanyl fentanyl,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,4,2016-01-01,2017-10-01,2016-05-01,False,Fentanyl and Fentanyl-related
Pseudoephedrine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,7,2016-04-01,2022-10-01,1998-10-01,True,Other substances
Oleandrin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2012-07-01,2012-07-01,,False,Supplement
