as_of,substance,rank,n_recent,n_baseline,ebgm,eb05
2024-10-01,Bromazolam,2.0,19,8,3.7779573482259585,2.609936990277136
2024-10-01,Mitragynine,13.0,24,29,1.7432006395169997,1.2511782979003145
2024-10-01,Carfentanil,1.0,12,0,7.0174585354594,4.452239577817467
2024-10-01,Xylazine,26.0,4,3,1.8423708451329746,0.9146303453367871
2025-01-01,para-Fluorofentanyl,44.0,79,207,0.8951327227226537,0.7425903740731594
2025-01-01,Bromazolam,4.0,17,14,2.496565169377437,1.6778717318758964
2025-01-01,Mitragynine,37.0,20,38,1.2154987515627402,0.8415569412689894
2025-01-01,Carfentanil,2.0,14,3,5.745345704082529,3.7165730313494048
2025-01-01,Xylazine,7.0,6,3,2.7717219293943094,1.466729277939456
2025-04-01,para-Fluorofentanyl,45.0,62,174,0.8618364676887835,0.6991292725102322
2025-04-01,Bromazolam,46.0,10,21,1.1298191382016765,0.6936002840649936
2025-04-01,Mitragynine,35.0,19,40,1.1326855275659165,0.7839663303320102
2025-04-01,Carfentanil,2.0,16,4,4.71508763137256,3.167584207216517
2025-04-01,Xylazine,16.0,5,4,1.899308123770505,1.0034215524970191
2025-07-01,para-Fluorofentanyl,85.0,21,186,0.30407593334007,0.21637923032366788
2025-07-01,Bromazolam,66.0,7,24,0.7700382080780167,0.4572329383450405
2025-07-01,Mitragynine,8.0,23,38,1.3427497502846626,0.9682366913949957
2025-07-01,Carfentanil,13.0,9,12,1.4093111200387265,0.8740755130324355
2025-07-01,Xylazine,75.0,2,7,0.8379546964629759,0.40913347104577624
2025-10-01,para-Fluorofentanyl,80.0,12,169,0.2542294029460065,0.17145689395030256
2025-10-01,Bromazolam,66.0,7,26,0.7760060171142573,0.4887028347041047
2025-10-01,Mitragynine,15.0,18,36,1.1432095065857113,0.8125657514802446
2025-10-01,Carfentanil,8.0,10,12,1.3685216993600149,0.9014064526378452
2025-10-01,Xylazine,69.0,2,7,0.8521702962271869,0.4749196807665575
