zipcode,year,population
90290,2013,7093.0
90290,2014,6902.0
90290,2015,6478.0
90290,2016,5974.0
90290,2017,5714.0
90290,2018,5371.0
90290,2019,5681.0
90290,2020,5200.0
90290,2021,5114.0
90290,2022,5300.0
90290,2023,5948.0
90290,2024,6315.0
90291,2013,27253.0
90291,2014,27803.0
90291,2015,27167.0
90291,2016,27277.0
90291,2017,27170.0
90291,2018,27525.0
90291,2019,26950.0
90291,2020,27556.0
90291,2021,25685.0
90291,2022,25656.0
90291,2023,25738.0
90291,2024,26324.0
90292,2013,21536.0
90292,2014,21507.0
90292,2015,21679.0
90292,2016,22482.0
90292,2017,22328.0
90292,2018,22490.0
90292,2019,23549.0
90292,2020,23931.0
90292,2021,23951.0
90292,2022,24481.0
90292,2023,23684.0
90292,2024,23982.0
90293,2013,12403.0
90293,2014,11997.0
90293,2015,12458.0
90293,2016,12649.0
90293,2017,12762.0
90293,2018,12694.0
90293,2019,12728.0
90293,2020,12915.0
90293,2021,12812.0
90293,2022,13039.0
90293,2023,12784.0
90293,2024,12655.0
90301,2013,36798.0
90301,2014,36714.0
90301,2015,36360.0
90301,2016,36429.0
90301,2017,37518.0
90301,2018,37291.0
90301,2019,38234.0
90301,2020,39320.0
90301,2021,38500.0
90301,2022,37341.0
90301,2023,36428.0
90301,2024,36060.0
90302,2013,30502.0
90302,2014,30219.0
90302,2015,30482.0
90302,2016,31064.0
90302,2017,30892.0
90302,2018,30828.0
90302,2019,30017.0
90302,2020,29367.0
90302,2021,29278.0
90302,2022,29307.0
90302,2023,28871.0
90302,2024,29003.0
90303,2013,26339.0
90303,2014,26453.0
90303,2015,26408.0
90303,2016,25134.0
90303,2017,24658.0
90303,2018,24693.0
90303,2019,24374.0
90303,2020,23961.0
90303,2021,23415.0
90303,2022,23370.0
90303,2023,23169.0
90303,2024,22727.0
90304,2013,28101.0
90304,2014,26936.0
90304,2015,26854.0
90304,2016,27008.0
90304,2017,25937.0
90304,2018,25591.0
90304,2019,25946.0
90304,2020,26584.0
90304,2021,26103.0
90304,2022,25725.0
90304,2023,26215.0
90304,2024,25430.0
90305,2013,14814.0
90305,2014,15501.0
90305,2015,15665.0
90305,2016,15777.0
90305,2017,15574.0
